,Image,Accuracy,F1,Jaccard,Recall,Precision
0,1,0.9969482421875,0.9131944444444444,0.8402555910543131,0.8976109215017065,0.9293286219081273
1,1006,0.9986572265625,0.8942307692307692,0.808695652173913,0.9789473684210527,0.8230088495575221
2,1008,0.99920654296875,0.9527272727272726,0.9097222222222222,0.9849624060150376,0.9225352112676056
3,1023,0.9986572265625,0.9513274336283185,0.9071729957805907,0.9148936170212766,0.9907834101382489
4,1042,0.998291015625,0.9014084507042254,0.8205128205128205,0.8258064516129032,0.9922480620155039
5,1044,0.9990234375,0.9583333333333333,0.92,0.9484536082474226,0.968421052631579
6,1045,0.9989013671875,0.9491525423728814,0.9032258064516129,0.9230769230769231,0.9767441860465116
7,1054,0.99591064453125,0.8445475638051045,0.7309236947791165,0.8465116279069768,0.8425925925925926
8,1056,0.99334716796875,0.7992633517495396,0.6656441717791411,0.6697530864197531,0.9908675799086758
9,1061,0.99810791015625,0.8634361233480178,0.7596899224806202,0.8990825688073395,0.8305084745762712
10,1064,0.99163818359375,0.2827225130890052,0.16463414634146342,0.84375,0.16981132075471697
11,1073,0.99810791015625,0.8074534161490683,0.6770833333333334,0.6770833333333334,1.0
12,1075,0.9744873046875,0.3386075949367089,0.2038095238095238,0.2356828193832599,0.601123595505618
13,1089,0.99298095703125,0.7242206235011991,0.5676691729323309,0.5676691729323309,1.0
14,109,0.99755859375,0.9511002444987775,0.9067599067599068,0.9848101265822785,0.9196217494089834
15,1090,0.9962158203125,0.875,0.7777777777777778,0.7805755395683454,0.9954128440366973
16,1099,0.9918212890625,0.70995670995671,0.5503355704697986,0.563573883161512,0.9590643274853801
17,110,0.99676513671875,0.8436578171091446,0.7295918367346939,0.7333333333333333,0.9930555555555556
18,1109,0.9945068359375,0.5794392523364487,0.40789473684210525,0.5535714285714286,0.6078431372549019
19,1117,0.98089599609375,0.07669616519174041,0.03987730061349693,0.3333333333333333,0.043333333333333335
20,1135,0.9991455078125,0.9421487603305785,0.890625,1.0,0.890625
21,114,0.9993896484375,0.9553571428571429,0.9145299145299145,0.9553571428571429,0.9553571428571429
22,1140,0.998291015625,0.8653846153846154,0.7627118644067796,0.7758620689655172,0.9782608695652174
23,1143,0.99761962890625,0.8729641693811074,0.7745664739884393,0.7745664739884393,1.0
24,1149,0.9990234375,0.9191919191919191,0.8504672897196262,0.9680851063829787,0.875
25,1154,0.99957275390625,0.970464135021097,0.9426229508196722,0.9745762711864406,0.9663865546218487
26,1156,0.9984130859375,0.900763358778626,0.8194444444444444,0.9833333333333333,0.8309859154929577
27,1158,0.997314453125,0.9140625,0.841726618705036,0.8447653429602888,0.9957446808510638
28,116,0.96942138671875,0.5214899713467049,0.35271317829457366,0.9612676056338029,0.3577981651376147
29,1167,0.99945068359375,0.9433962264150944,0.8928571428571429,0.9259259259259259,0.9615384615384616
30,1184,0.99871826171875,0.9642248722316865,0.930921052631579,0.9826388888888888,0.9464882943143813
31,1189,0.9984130859375,0.8142857142857143,0.6867469879518072,0.7307692307692307,0.9193548387096774
32,1191,0.9971923828125,0.8456375838926175,0.7325581395348837,0.8513513513513513,0.84
33,1196,0.99761962890625,0.7891891891891891,0.6517857142857143,0.6517857142857143,1.0
34,1197,0.998779296875,0.9029126213592233,0.8230088495575221,0.8454545454545455,0.96875
35,1202,0.99835205078125,0.7969924812030075,0.6625,0.7571428571428571,0.8412698412698413
36,1204,0.99908447265625,0.887218045112782,0.7972972972972973,0.8428571428571429,0.9365079365079365
37,1206,0.99908447265625,0.8623853211009174,0.7580645161290323,0.94,0.7966101694915254
